,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
114,30,114194,0.654,0.146,6,-15.968,0.0843,0.598,0.935,0.11,0.3379999999999999,124.011,4,2021
115,30,254360,0.49,0.311,10,-16.749000000000002,0.0453,0.915,0.835,0.171,0.421,123.434,4,2021
116,29,184987,0.662,0.401,7,-13.296,0.0388,0.941,0.905,0.288,0.669,117.287,4,2021
117,26,193307,0.642,0.391,9,-13.798,0.0324,0.94,0.943,0.0696,0.711,101.38,4,2021
118,26,460707,0.293,0.161,5,-16.573,0.0324,0.952,0.926,0.0477,0.209,97.923,4,2021
119,26,670947,0.316,0.108,0,-18.232,0.0375,0.936,0.8590000000000001,0.0785,0.188,101.673,4,2021
120,26,184413,0.5,0.3389999999999999,7,-16.881,0.0497,0.942,0.914,0.111,0.272,81.163,4,2021
121,25,654107,0.2689999999999999,0.0833,2,-18.492,0.0347,0.973,0.908,0.0673,0.106,94.013,4,2021
122,25,641453,0.233,0.131,2,-15.626,0.0411,0.947,0.928,0.0903,0.1,149.727,4,2021
123,25,121000,0.634,0.402,5,-12.934,0.0347,0.938,0.66,0.21,0.949,84.48700000000001,4,2021
124,0,147377,0.324,0.0316,0,-28.097,0.0514,0.964,0.111,0.0741,0.28,165.30900000000003,4,2021
125,0,69761,0.466,0.396,2,-16.295,0.051,0.903,0.929,0.0879,0.456,118.698,4,2021
126,0,150465,0.488,0.201,2,-20.743,0.0363,0.989,0.0506,0.122,0.488,62.089,4,2021
127,25,113933,0.4,0.547,0,-12.044,0.0467,0.8909999999999999,0.63,0.0663,0.857,166.178,4,2021
128,25,783960,0.19,0.06,0,-18.481,0.0371,0.973,0.875,0.154,0.0747,179.93400000000003,3,2021
129,25,122920,0.5589999999999999,0.336,11,-16.448,0.0457,0.7390000000000001,0.248,0.115,0.645,79.348,4,2021
130,21,217360,0.711,0.0983,1,-28.235,0.899,0.778,0.0,0.62,0.359,111.518,4,2021
131,24,496307,0.345,0.135,2,-16.442,0.0313,0.957,0.878,0.0927,0.249,97.238,4,2021
132,24,199067,0.435,0.1639999999999999,9,-17.914,0.0399,0.967,0.858,0.182,0.755,174.33599999999998,4,2021
133,23,251907,0.503,0.147,11,-20.073,0.0545,0.961,0.473,0.0852,0.447,89.08,4,2021
134,23,135413,0.391,0.45,5,-14.744000000000002,0.0587,0.901,0.379,0.0793,0.609,170.232,4,2021
135,23,142320,0.386,0.602,11,-13.88,0.0658,0.873,0.919,0.0744,0.406,167.765,4,2021
136,22,115263,0.5489999999999999,0.65,0,-9.265,0.0414,0.0152,0.603,0.4679999999999999,0.2339999999999999,151.886,4,2021
